standard_brand,url,views,engagement
EMINA,https://www.tiktok.com/@moreyeaul_/video/7501542904540744965,112300,1423
EMINA,https://www.tiktok.com/@alisyaays/video/7483881632651332871,17000,250
EMINA,https://www.tiktok.com/@crumbliingdawn/video/7474819797167934725,807800,35451
EMINA,https://www.tiktok.com/@fierlia15/video/7459383320913153286,26600,1171
EMINA,https://www.tiktok.com/@hungryforskincare/video/7463737017986239752,114500,27372
EMINA,https://www.tiktok.com/@lalaashine/video/7533090812855454983,120100,11825
EMINA,https://www.tiktok.com/@veralinee/video/7477781637850336517,318600,1291
EMINA,https://www.instagram.com/p/DOLM11KEXpr,205200,3644
EMINA,https://www.tiktok.com/@stevanyhany/video/7460852660397149445,25800,2199
EMINA,https://www.instagram.com/p/DMpbZRZv9Uq,217266,7705
EMINA,https://www.tiktok.com/@shaguffta_/video/7476064757993655557,64100,615
EMINA,https://www.instagram.com/p/DF-CvHHSNF6,72842,1746
EMINA,https://www.tiktok.com/@valeentcya/video/7525094773032553748,50400,451
EMINA,https://www.tiktok.com/@dr.richardyl/video/7471231715529362743,81200,1131
EMINA,https://www.instagram.com/p/DIvl-gwyENz,5874,47
EMINA,https://www.tiktok.com/@jelitaazni27/video/7492238784474451206,92400,1676
EMINA,https://www.tiktok.com/@luthfihinelo/video/7505724353661766919,139200,11813
EMINA,https://www.tiktok.com/@rrfebryl/video/7462307656800259334,15800,1714
EMINA,https://www.tiktok.com/@missevev/video/7522141737255537928,51400,1265
EMINA,https://www.tiktok.com/@acessz/video/7502012642974862647,88200,2577
EMINA,https://www.tiktok.com/@dwi_alhikmawati/video/7471155388306427191,54800,1150
EMINA,https://www.instagram.com/p/DHXQn1HPGzu,8119,61
EMINA,https://www.tiktok.com/@uni.tanihe/video/7459375080443776261,87600,382
EMINA,https://www.tiktok.com/@taniawidjaya/video/7529712037941890360,273400,2510
EMINA,https://www.tiktok.com/@unpredictpeople/video/7492715956104350982,969900,5323
EMINA,https://www.tiktok.com/@dwi_alhikmawati/video/7470800361863875845,1300000,2306
EMINA,https://www.instagram.com/p/DMnJklLSwmq,17907,1117
EMINA,https://www.tiktok.com/@rezzkyyyyyyyy/video/7471095515296533766,968500,2353
EMINA,https://www.tiktok.com/@richardbardo/video/7561376392894631180,60900,8222
EMINA,https://www.instagram.com/p/DNkLu2ZzTQP,381412,5738
EMINA,https://www.tiktok.com/@nadyabels/video/7532093186618051845,5534,92
EMINA,https://www.instagram.com/p/DF7SHu2pnXq,12859900,50
EMINA,https://www.tiktok.com/@manysidesofp/video/7475231295686085906,486000,57456
EMINA,https://www.instagram.com/p/DJymnq5PbvS,88547,6398
EMINA,https://www.tiktok.com/@rezzkyyyyyyyy/video/7471115426739653894,1000000,2184
EMINA,https://www.tiktok.com/@jessy.iene/video/7473784770384743735,7357,71
EMINA,https://www.instagram.com/p/DHkyfgCp9ZW,2623,22
EMINA,https://www.tiktok.com/@paramita1609/video/7476045969675701512,28100,695
EMINA,https://www.tiktok.com/@wendywooody/video/7460084700711816454,10800,61
EMINA,https://www.tiktok.com/@rrfebryl/video/7476415128267836678,136600,5887
EMINA,https://www.tiktok.com/@elsolasido/video/7470747700988759302,10600,495
EMINA,https://www.tiktok.com/@dindafad29/video/7481587171535736119,710,37
EMINA,https://www.tiktok.com/@adistyhecaa/video/7472780778468805908,46200,201
EMINA,https://www.tiktok.com/@maritzazhrsy/video/7475647471322975495,81700,1387
EMINA,https://www.tiktok.com/@chintyamelsan/video/7534924158388555013,733800,38555
EMINA,https://www.tiktok.com/@kellygracia_/video/7504265557374405896,307000,29354
EMINA,https://www.tiktok.com/@tikakusnaedi/video/7486412702890429701,651,43
EMINA,https://www.tiktok.com/@janeabys/video/7455652816430943494,63100,8671
EMINA,https://www.instagram.com/p/DGArPBqBoCx,30372,1290
EMINA,https://www.tiktok.com/@azizahmiraaa/video/7457132073900379399,252800,31940
EMINA,https://www.tiktok.com/@megautami_17/video/7531792738115800328,14200,456
EMINA,https://www.tiktok.com/@thisishann0n/video/7479026604568481031,2629,361
EMINA,https://www.tiktok.com/@nanciyya/video/7547544709481172242,1080,36
EMINA,https://www.instagram.com/p/DGeh1pcTmsE,118074,2326
EMINA,https://www.tiktok.com/@crumbliingdawn/video/7563659549643787528,3443,224
EMINA,https://www.tiktok.com/@ini.amellll/video/7457515824111193349,6702,155
EMINA,https://www.tiktok.com/@fernandofenlee/video/7537558481654615301,125800,13791
EMINA,https://www.instagram.com/p/DGDlTEwy9ol,8218,31
EMINA,https://www.tiktok.com/@dunialiliput/video/7465420534474476808,225900,41057
EMINA,https://www.instagram.com/p/DIJJW2XTfm7,4197,22
EMINA,https://www.tiktok.com/@janeabys/video/7535328695330868485,137000,17232
EMINA,https://www.tiktok.com/@nashani.dindra/video/7535422141374795013,21900,3938
EMINA,https://www.tiktok.com/@rezzkyyyyyyyy/video/7471171445318487302,938800,1877
EMINA,https://www.tiktok.com/@farrelhkeem/video/7472699307670457616,11000,233
EMINA,https://www.tiktok.com/@nabilla_wr/video/7478671629187435782,56100,1510
EMINA,https://www.tiktok.com/@dwi_alhikmawati/video/7470757487566753029,1100000,1959
EMINA,https://www.tiktok.com/@maritzazhrsy/video/7476311625167867137,98300,1418
EMINA,https://www.tiktok.com/@tweetywitti/video/7473432399725055287,97900,829
EMINA,https://www.tiktok.com/@kevinmillenio/video/7540237614285147399,999700,96703
EMINA,https://www.tiktok.com/@ralpheugene15/video/7477530362667601170,140000,19569
EMINA,https://www.instagram.com/p/DNw3H4JZvFB,3621,827
EMINA,https://www.tiktok.com/@azizahmiraaa/video/7479028970520956215,44500,3248
EMINA,https://www.tiktok.com/@auliaaaa3/video/7472024226656980242,2400000,2168
EMINA,https://www.tiktok.com/@normanelat/video/7474246535501368582,35800,2640
EMINA,https://www.tiktok.com/@naykillas/video/7473841357849709829,805600,24991
EMINA,https://www.youtube.com/watch?v=7UHZW9oL57w,30401,1607
EMINA,https://www.instagram.com/p/DFXWdMCzi5E,72793,2645
EMINA,https://www.tiktok.com/@queenreview_/video/7499040621835881746,72100,1202
EMINA,https://www.tiktok.com/@richelleweisz/video/7472963453867576631,152600,1746
EMINA,https://www.tiktok.com/@nayraliaapwty_/video/7471192090790202679,103300,1419
EMINA,https://www.instagram.com/p/DFC6Yv-Jrqx,8380,478
EMINA,https://www.instagram.com/p/DNs5EmyZA5O,5266,147
EMINA,https://www.tiktok.com/@galuhe_/video/7480837313589742903,11100,177
EMINA,https://www.instagram.com/p/DFPI7-jpdUn,16334,603
EMINA,https://www.tiktok.com/@vonvon_7/video/7524667091086036280,180200,744
EMINA,https://www.instagram.com/p/DJB1S3JzYvi,14296,176
EMINA,https://www.instagram.com/p/DM-hECiSk9c,6427,141
EMINA,https://www.tiktok.com/@belzkys/video/7455637089380502789,15700,254
EMINA,https://www.tiktok.com/@pwettypies_/video/7522386209918799109,1300000,1159
EMINA,https://www.tiktok.com/@adibhabsyi/video/7532456086297644344,18000,913
EMINA,https://www.tiktok.com/@rybeccary_/video/7476371912076184840,27100,954
EMINA,https://www.tiktok.com/@auliaaaa3/video/7470799958455618823,23800,1094
EMINA,https://www.tiktok.com/@m0ody17/video/7497103270909857032,144600,12679
EMINA,https://www.tiktok.com/@diinda.nr/video/7504216456796572934,5537,1096
